Log file open, 03/09/15 21:21:45
LogInit:Display: Running engine for game: Besieged
LogInit: Version: 4.7.2-2467323+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Mar  2 2015 23:16:34
[2015.03.10-02.22.07:499][  0]LogPackFactory: Content/StarterContent/Textures/T_Water_N.uasset (2087420) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Water_N.uasset
[2015.03.10-02.22.07:500][  0]LogPackFactory: Content/StarterContent/Textures/T_White_Painted_Metal_D.uasset (459) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_White_Painted_Metal_D.uasset
[2015.03.10-02.22.07:501][  0]LogPackFactory: Content/StarterContent/Textures/T_White_Painted_Metal_N.uasset (459) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_White_Painted_Metal_N.uasset
[2015.03.10-02.22.07:502][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_a_d.uasset (446) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_a_d.uasset
[2015.03.10-02.22.07:503][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_A_N.uasset (446) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_A_N.uasset
[2015.03.10-02.22.07:503][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_A_S.uasset (446) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_A_S.uasset
[2015.03.10-02.22.07:504][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Floor_Walnut_D.uasset (4584206) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Floor_Walnut_D.uasset
[2015.03.10-02.22.07:507][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Floor_Walnut_M.uasset (3940729) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Floor_Walnut_M.uasset
[2015.03.10-02.22.07:509][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Floor_Walnut_N.uasset (2858538) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Floor_Walnut_N.uasset
[2015.03.10-02.22.07:511][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Oak_D.uasset (6707252) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Oak_D.uasset
[2015.03.10-02.22.07:515][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Oak_N.uasset (6245295) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Oak_N.uasset
[2015.03.10-02.22.07:519][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Pine_D.uasset (9690724) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Pine_D.uasset
[2015.03.10-02.22.07:524][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Pine_N.uasset (3467174) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Pine_N.uasset
[2015.03.10-02.22.07:526][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Walnut_D.uasset (6509713) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Walnut_D.uasset
[2015.03.10-02.22.07:530][  0]LogPackFactory: Content/StarterContent/Textures/T_Wood_Walnut_N.uasset (3836013) -> ../../../../../Projects/Besieged/Content/StarterContent/Textures/T_Wood_Walnut_N.uasset
[2015.03.10-02.22.07:532][  0]LogPackFactory: Finished extracting 750 files (including 0 errors).
[2015.03.10-02.22.07:709][  0]LogRenderer:Warning: Reallocating scene render targets to support 256x256 (Frame:2).
[2015.03.10-02.22.07:771][  0]Cmd: OBJ SAVEPACKAGE PACKAGE="/Game/StarterContent/Architecture/Floor_400x400" FILE="../../../../../Projects/Besieged/Content/StarterContent/Architecture/Floor_400x400.uasset" SILENT=true
[2015.03.10-02.22.08:044][  0]LogSavePackage: Save=270.512024ms
[2015.03.10-02.22.08:044][  0]LogSavePackage: Moving '../../../../../Projects/Besieged/Saved/Floor_400x4009CAB0C6D48CA27F24B6ECA9E7972336B.tmp' to '../../../../../Projects/Besieged/Content/StarterContent/Architecture/Floor_400x400.uasset'
[2015.03.10-02.22.08:047][  0]LogFeaturePack:Warning: Inserted 1 feature packs
[2015.03.10-02.22.08:048][  0]Cmd: MAP LOAD FILE="../../../../../Projects/Besieged/Content/TopDownBP/Maps/TopDownExampleMap.umap" TEMPLATE=0 SHOWPROGRESS=1 FEATURELEVEL=3
[2015.03.10-02.22.08:048][  0]LightingResults: New page: Lighting Build
[2015.03.10-02.22.08:064][  0]MapCheck: New page: Map Check
[2015.03.10-02.22.08:064][  0]LightingResults: New page: Lighting Build
[2015.03.10-02.22.08:069][  0]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x00000000043DC680
[2015.03.10-02.22.08:912][  0]LogEditorServer: Finished looking for orphan Actors (0.000 secs)
[2015.03.10-02.22.09:519][  0]LogAIModule: Creating AISystem for world TopDownExampleMap
[2015.03.10-02.22.09:520][  0]Cmd: MAP CHECKDEP
[2015.03.10-02.22.09:520][  0]MapCheck: New page: TopDownExampleMap - Mar 9, 2015, 4:22:09 PM
[2015.03.10-02.22.09:601][  0]MapCheck: Info Map check complete: 0 Error(s), 0 Warning(s), took 81.721ms to complete.
[2015.03.10-02.22.09:601][  0]LogFileHelpers: Loading map 'TopDownExampleMap' took 1.554
[2015.03.10-02.22.09:720][  0]LogCollectionManager: Loaded 0 collections in 0.001884 seconds
[2015.03.10-02.22.09:727][  0]LogContentBrowser: Native class hierarchy populated in 0.0064 seconds. Added 1696 classes and 261 folders.
[2015.03.10-02.22.09:775][  0]LogContentBrowser: Native class hierarchy updated for 'SceneOutliner' in 0.0013 seconds. Added 1 classes and 2 folders.
[2015.03.10-02.22.09:836][  0]LogCrashTracker: Crashtracker disabled due to settings.
[2015.03.10-02.22.09:837][  0]LogSlate:Warning: Failed to load font data from 'Veranda'
[2015.03.10-02.22.09:842][  0]LogUObjectGlobals:Warning: Failed to find object 'Class None.'
[2015.03.10-02.22.09:866][  0]LogLoad: Full Startup: 26.51 seconds (BP compile: 0.25 seconds)
[2015.03.10-02.22.09:900][  0]LogContentBrowser:Verbose: The content 
